SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
Oc1ccc(-c2ccccc2)cc1CNC1CCCCC1,0.207208586,0.848854315,single-ring-substituted,2,0,"{'ortho': 0, 'meta': 1, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(CCc1ccc(-c2ccccc2)cc1)c1ncc(-c2ccncc2)o1,0.479400172,0.635979811,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCCC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,0.30931505,0.799652439,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccc(-c2ccccc2)cc1,0.279854284,0.794731034,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)C1(S(=O)(=O)c2ccccc2Br)CCCC1,0.169001167,0.920026741,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C1S/C(=C\c2ccc(-c3ccccc3)cc2)C(=O)N1Cc1cccc(Cl)c1,0.089729904,0.97667088,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
COc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)c4ccc(-c5ccccc5)cc4)CC3)c2c1,0.24762276,0.887152512,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(NCCc1ccc(-c2ccccc2)cc1)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,0.21068019,0.872518305,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C1C(=O)N(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccccc3F)cc21,0.273007872,0.850660333,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)CCCc1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1,0.034328289,0.974619849,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(NC(=O)c3ccc(-c4ccccc4)cc3)c2)CC1,0.179043654,0.861985131,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=S1(=O)N=C(OCc2ccc(-c3ccccc3)cc2)c2ccccc2N1,0.316582343,0.967680361,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1cc(O)c(C(=O)/C=C/c2ccccc2Cl)c(-c2ccccc2)c1C(=O)/C=C/c1ccccc1Cl,0.186986801,0.828146792,single-ring-substituted,4,0,"{'ortho': 2, 'meta': 2, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)CCC/C=C\C[C@@H]1[C@H]2CC[C@H](C2)[C@H]1NS(=O)(=O)c1ccc(-c2ccccc2)cc1,0.356866611,0.87202682,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(NC1CCC1)Oc1cccc(-c2ccccc2)c1,0.157476026,0.895050666,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(CCc1ccc(-c2ccccc2)cc1)N[C@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,0.203975366,0.947321,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
N=C(N)NCCC[C@@H](NC(=O)C(CSCc1ccccc1)NC(=O)Cc1ccc(-c2ccccc2)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NCCc1ccccc1,0.512520729,0.776162493,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
COC(=O)c1ccc(NCc2cncn2Cc2ccc(Br)cc2)cc1-c1ccccc1,0.230065686,0.858687837,single-ring-substituted,2,0,"{'ortho': 1, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
